AB711N,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB711S,"STA 23,STA 25,STA 24,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB712,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB758,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB759,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,KC STA 45,STA 77,STA 43"
AB760,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB760F,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB761,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB761C,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB761F,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB762,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB807,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB808,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB809,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB810,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB811,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 7,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB857,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB858,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB859,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB859Z,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB860,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB860C,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB860Z,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB861,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB908,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB909,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB910,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB911,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB958,"STA 25,STA 24,STA 23,STA 6,STA 10,STA 11,STA 4,STA 12,STA 15,STA 5,STA 21,STA 18,STA 76,STA 14,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB959,"STA 25,STA 24,STA 23,STA 6,STA 10,STA 11,STA 4,STA 12,STA 15,STA 5,STA 21,STA 18,STA 76,STA 14,STA 16,STA 19,STA 13,STA 22,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB959Z,"STA 25,STA 24,STA 23,STA 6,STA 10,STA 11,STA 4,STA 12,STA 15,STA 5,STA 21,STA 18,STA 76,STA 14,STA 16,STA 19,STA 13,STA 22,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB960,"STA 25,STA 24,STA 23,STA 10,STA 11,STA 6,STA 15,STA 21,STA 18,STA 4,STA 76,STA 12,STA 14,STA 5,STA 22,STA 16,STA 19,STA 13,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AB961,"STA 25,STA 24,STA 23,STA 6,STA 10,STA 11,STA 4,STA 12,STA 15,STA 5,STA 21,STA 18,STA 76,STA 14,STA 16,STA 19,STA 13,STA 22,STA 20,STA 72,STA 17,KC STA 45,STA 77,STA 43"
AC0023,"STA 31,STA 75,KC STA 66,STA 32,KC STA 35,STA 71,STA 51,STA 74,STA 41,STA 77,KC STA 31,STA 72,STA 13,STA 43,STA 42,KC STA 42,STA 73,STA 12,STA 76,STA 82,STA 53,STA 21,STA 7,KC STA 44,STA 54,STA 1,STA 83,STA 2,STA 22,KC STA 45,STA 11"
AC0024,"STA 31,KC STA 66,STA 32,STA 51,KC STA 35,STA 41,STA 75,STA 42,STA 74,STA 43,STA 71,KC STA 31,STA 77,STA 82,STA 53,STA 72,STA 73,STA 54,STA 1,STA 83,KC STA 42,STA 2,STA 13,STA 5,STA 68,STA 91,STA 85,KC STA 44,STA 6,STA 81,STA 12"
AC0025,"STA 31,KC STA 66,STA 51,KC STA 35,STA 41,STA 75,STA 42,STA 74,STA 43,KC STA 31,STA 71,STA 82,STA 53,STA 73,STA 54,KC STA 42,STA 77,STA 83,STA 72,STA 2,STA 1,KC STA 45,STA 85,STA 13,STA 68,KC STA 44,STA 81,STA 12,STA 5,STA 6,STA 22,STA 4,STA 86,STA 76,STA 7,STA 21,STA 11,STA 55,STA 15,STA 87,STA 24,STA 25,STA 14,STA 23,STA 16,STA 63,STA 18,STA 62,STA 19,STA 60,STA 47,STA 46,STA 95,STA 20,STA 17,STA 91,STA 69,STA 65,STA 90,STA 96,STA 49,STA 99,STA 97,STA 37,STA 94,STA 92,IC STA 103,IC STA 102,STA 38,STA 39"
AC0122,"STA 31,KC STA 66,STA 75,STA 32,STA 71,STA 41,KC STA 35,STA 77,STA 74,STA 51,KC STA 31,STA 72,STA 13,STA 42,STA 43,KC STA 42,STA 73,STA 76,STA 12,STA 82,STA 53,KC STA 44,STA 7,STA 21,STA 2,STA 54,STA 1,STA 83,STA 22,KC STA 45,STA 11,IC STA 101"
AC0123,"STA 31,KC STA 66,STA 75,STA 32,STA 71,STA 41,KC STA 35,STA 77,STA 74,STA 51,KC STA 31,STA 72,STA 13,STA 42,STA 43,KC STA 42,STA 73,STA 76,STA 12,STA 82,STA 53,KC STA 44,STA 7,STA 21,STA 2,STA 54,STA 1,STA 83,STA 22,KC STA 45,STA 11"
AC0124,"STA 31,KC STA 66,STA 32,STA 51,KC STA 35,STA 75,STA 41,STA 42,STA 74,STA 43,STA 71,STA 53,STA 82,KC STA 31,STA 77,STA 73,STA 54,STA 72,STA 83,STA 1,KC STA 42,STA 2,STA 13,STA 68,STA 91,STA 5,STA 85,KC STA 44,STA 12,STA 6,STA 81"
AC0125,"STA 31,KC STA 66,STA 32,STA 51,STA 75,STA 41,KC STA 35,STA 74,STA 42,STA 71,STA 43,KC STA 31,STA 53,STA 82,STA 77,STA 54,STA 73,STA 72,STA 83,STA 2,STA 13,STA 1,KC STA 42,STA 68,STA 91,STA 81,STA 5,KC STA 44,STA 6,STA 85,STA 12"
AC0126,"STA 31,KC STA 66,STA 32,STA 51,STA 75,KC STA 35,STA 41,STA 74,STA 42,STA 71,STA 43,KC STA 31,STA 53,STA 82,STA 77,STA 54,STA 73,STA 72,STA 83,STA 2,STA 1,KC STA 42,STA 13,STA 68,STA 91,STA 81,STA 5,KC STA 44,STA 6,STA 85,STA 12"
AC0222,"STA 31,STA 75,KC STA 66,STA 32,STA 71,KC STA 35,STA 74,STA 77,STA 72,STA 13,STA 41,STA 51,STA 43,STA 73,KC STA 31,STA 42,KC STA 42,STA 12,STA 76,STA 7,STA 82,STA 21,STA 53,KC STA 44,STA 22,STA 1,STA 54,STA 6,KC STA 45,STA 11,STA 83"
AC0223,"STA 31,STA 75,KC STA 66,STA 32,STA 71,KC STA 35,STA 74,STA 77,STA 72,STA 13,STA 41,STA 51,STA 43,STA 73,KC STA 31,STA 42,KC STA 42,STA 12,STA 76,STA 7,STA 82,STA 21,STA 53,KC STA 44,STA 22,STA 1,STA 54,STA 6,KC STA 45,STA 11,STA 83"
AC0224,"STA 31,KC STA 66,STA 32,STA 75,STA 41,STA 51,STA 71,KC STA 35,STA 42,STA 74,STA 43,STA 77,STA 72,STA 82,STA 53,STA 73,STA 13,STA 54,KC STA 31,STA 2,KC STA 42,STA 1,STA 83,STA 68,STA 91,STA 12,STA 85,STA 5,KC STA 44,STA 76,STA 81"
AC0225,"STA 31,KC STA 66,STA 32,STA 75,STA 41,STA 51,STA 71,KC STA 35,STA 42,STA 74,STA 43,STA 77,STA 72,STA 82,STA 53,STA 73,STA 13,STA 54,KC STA 31,STA 2,KC STA 42,STA 1,STA 83,STA 68,STA 91,STA 12,STA 85,STA 5,KC STA 44,STA 76,STA 81"
AC0321,"STA 31,STA 32,STA 75,STA 74,STA 41,STA 71,STA 51,STA 42,STA 43,KC STA 31,STA 73,KC STA 66,KC STA 42,STA 72,STA 82,STA 77,KC STA 35,STA 2,STA 53,STA 1,STA 13,STA 83,STA 54,KC STA 44,STA 22,KC STA 45,STA 76,STA 5,STA 68,STA 21,STA 12"
AC0322,"STA 31,STA 32,STA 75,STA 74,STA 41,STA 51,STA 71,STA 42,STA 43,KC STA 31,STA 73,KC STA 66,KC STA 42,STA 72,STA 82,STA 77,KC STA 35,STA 2,STA 53,STA 1,STA 13,STA 83,STA 54,KC STA 44,STA 22,KC STA 45,STA 76,STA 5,STA 68,STA 21,STA 12"
AC0323,"STA 31,KC STA 66,STA 32,STA 75,STA 41,STA 51,STA 71,KC STA 35,STA 42,STA 74,STA 43,STA 77,STA 72,STA 13,KC STA 31,STA 53,STA 82,STA 73,STA 54,STA 2,STA 83,KC STA 42,STA 1,STA 68,STA 91,STA 76,STA 85,STA 12,STA 5,KC STA 44,STA 11"
AC0324,"STA 31,KC STA 66,STA 32,STA 75,STA 41,STA 51,STA 71,KC STA 35,STA 42,STA 74,STA 43,STA 77,STA 72,STA 13,KC STA 31,STA 53,STA 82,STA 73,STA 54,STA 2,STA 83,KC STA 42,STA 1,STA 68,STA 91,STA 76,STA 85,STA 12,STA 5,KC STA 44,STA 11"
AC0325,"STA 31,KC STA 66,STA 32,STA 75,STA 41,STA 51,STA 71,KC STA 35,STA 42,STA 74,STA 43,STA 77,STA 72,STA 13,KC STA 31,STA 53,STA 82,STA 73,STA 54,STA 2,STA 83,KC STA 42,STA 1,STA 68,STA 91,STA 76,STA 85,STA 12,STA 5,KC STA 44,STA 11"
AC0421,"STA 31,STA 32,STA 75,STA 74,STA 41,STA 71,STA 51,STA 42,STA 43,KC STA 31,STA 73,KC STA 66,KC STA 42,STA 72,STA 82,STA 77,KC STA 35,STA 2,STA 1,STA 53,STA 13,STA 83,STA 54,KC STA 44,STA 22,KC STA 45,STA 76,STA 5,STA 68,STA 21,STA 12"
AC0422,"STA 31,STA 32,STA 75,STA 74,STA 41,STA 51,STA 71,STA 42,STA 43,KC STA 31,STA 73,KC STA 66,KC STA 42,STA 72,STA 82,STA 77,KC STA 35,STA 2,STA 53,STA 1,STA 13,STA 83,STA 54,KC STA 44,STA 22,KC STA 45,STA 76,STA 5,STA 68,STA 21,STA 12"
AC0423,"STA 31,STA 32,STA 75,STA 74,STA 41,STA 51,STA 71,STA 42,STA 43,STA 73,KC STA 66,KC STA 31,KC STA 42,STA 72,STA 77,STA 82,KC STA 35,STA 1,STA 53,STA 13,STA 83,STA 2,STA 54,KC STA 44,STA 22,KC STA 45,STA 21,STA 5,STA 68,STA 91,STA 76"
AC0424,"STA 31,STA 32,KC STA 66,STA 41,STA 51,STA 75,STA 74,STA 42,STA 43,STA 71,STA 82,STA 53,KC STA 31,STA 73,KC STA 35,STA 83,KC STA 42,STA 1,STA 72,STA 2,STA 54,STA 77,STA 13,STA 85,STA 68,STA 91,KC STA 44,STA 5,STA 12,STA 6,STA 81"
AC0424C,"STA 31,STA 32,KC STA 66,STA 51,STA 41,STA 75,STA 42,KC STA 35,STA 74,STA 71,STA 43,STA 77,STA 82,KC STA 31,STA 53,STA 73,STA 72,STA 13,STA 54,KC STA 42,STA 1,STA 83,STA 2,STA 85,STA 68,STA 91,STA 5,STA 81,KC STA 44,STA 12,STA 6"
AC0424D,"STA 31,STA 32,KC STA 66,STA 51,STA 75,STA 41,STA 42,KC STA 35,STA 74,STA 71,STA 43,STA 77,STA 82,KC STA 31,STA 53,STA 73,STA 72,STA 13,STA 54,KC STA 42,STA 1,STA 83,STA 2,STA 85,STA 68,STA 91,STA 5,STA 81,KC STA 44,STA 12,STA 6"
AC0425,"STA 31,STA 32,KC STA 66,STA 51,STA 75,STA 41,STA 74,STA 42,STA 43,STA 71,KC STA 35,STA 82,STA 53,STA 73,KC STA 31,STA 54,STA 83,KC STA 42,STA 2,STA 72,STA 1,STA 13,STA 77,STA 85,STA 68,STA 5,STA 91,STA 81,STA 12,KC STA 44,STA 6"
AC0426,"STA 31,STA 32,KC STA 66,STA 51,STA 75,STA 41,STA 42,STA 74,STA 43,STA 71,KC STA 35,STA 82,STA 53,STA 73,KC STA 31,STA 54,STA 83,KC STA 42,STA 2,STA 72,STA 1,STA 13,STA 77,STA 85,STA 68,STA 91,STA 5,STA 12,STA 81,KC STA 44,STA 6"
